VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,3/2/2016 19:47,3/2/2016 19:57,1,1.39,-73.98288727,40.73070145,1,N,-74.00480652,40.74077988,2,8.0,1.0,0.5,0.0,0.0,0.3,9.8
2,3/3/2016 7:21,3/3/2016 7:23,5,0.38,-73.97745514,40.75373459,1,N,-73.98479462,40.75605774,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
2,3/3/2016 2:03,3/3/2016 2:11,2,2.55,-73.99919128,40.7281189,1,N,-73.98597717,40.75717163,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3
1,3/2/2016 19:53,3/2/2016 20:04,1,2.4,-73.9899292,40.76728439,1,N,-73.96620941,40.79572678,1,10.0,1.0,0.5,2.0,0.0,0.3,13.8
1,3/2/2016 14:43,3/2/2016 14:52,1,0.8,-73.9815979,40.76854706,1,N,-73.98901367,40.76768875,1,7.0,0.0,0.5,1.0,0.0,0.3,8.8
2,3/1/2016 15:34,3/1/2016 16:06,1,4.15,-73.97234344,40.76198578,1,N,-73.91719818,40.76127625,1,22.5,0.0,0.5,5.82,0.0,0.3,29.12
2,3/1/2016 18:51,3/1/2016 19:01,3,1.82,-73.99783325,40.73186493,1,N,-74.010849,40.71324539,1,9.0,1.0,0.5,0.0,0.0,0.3,10.8
1,3/2/2016 18:47,3/2/2016 19:32,1,14.7,-73.78842926,40.64138031,1,N,-73.95825195,40.65495682,1,45.5,1.0,0.5,9.45,0.0,0.3,56.75
1,3/1/2016 19:35,3/1/2016 19:50,2,3.0,-73.97631836,40.78076935,1,N,-73.9881897,40.74904633,1,12.5,1.0,0.5,1.0,0.0,0.3,15.3
2,3/10/2016 8:39,3/10/2016 8:50,3,1.1,-73.96121216,40.76895905,1,N,-73.97286987,40.75891113,1,8.5,0.0,0.5,2.79,0.0,0.3,12.09
1,3/2/2016 14:32,3/2/2016 14:50,1,3.4,-73.9628067,40.7793541,1,N,-73.96100616,40.81008911,2,15.0,0.0,0.5,0.0,0.0,0.3,15.8
2,3/2/2016 16:40,3/2/2016 16:45,1,1.15,-73.97879028,40.74111176,1,N,-73.98868561,40.72720337,2,5.5,1.0,0.5,0.0,0.0,0.3,7.3
2,3/2/2016 23:44,3/2/2016 23:52,1,1.41,-73.96759796,40.69329071,1,N,-73.98725128,40.69231033,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3
2,3/2/2016 15:25,3/2/2016 15:37,1,3.99,-73.87101746,40.77378082,1,N,-73.82396698,40.76343918,2,13.5,0.0,0.5,0.0,0.0,0.3,14.3
2,3/10/2016 8:47,3/10/2016 8:55,1,1.18,-73.97940063,40.76451874,1,N,-73.98326111,40.77642822,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
1,3/2/2016 18:15,3/2/2016 18:38,1,3.3,-73.97406006,40.75615692,1,N,-73.97678375,40.79018021,1,16.0,1.0,0.5,3.55,0.0,0.3,21.35
1,3/3/2016 11:52,3/3/2016 12:00,1,1.7,-73.96903229,40.79862213,1,N,-73.95549774,40.78268051,1,8.5,0.0,0.5,1.85,0.0,0.3,11.15
